Orthogroup	Acyrthosiphon_pisum	Aedes_aegypti	Anopheles_gambiae	Apis_mellifera	Bombus_terrestris	Bombyx_mori	Ceratina_calcarata	Drosophila_melanogaster	Dufourea_novaeangliae	Eufriesea_mexicana	Habropoda_laboriosa	Megachile_rotundata	Megalopta_genalis	Nasonia_vitripennis	Nomia_melanderi	Osmia_bicornis	Osmia_lignaria	Polistes_dominula	Solenopsis_invicta	Tribolium_castaneum	Vespa_mandarinia	Total
OG0000091	0	0	0	0	3	0	0	0	10	1	4	7	0	2	12	2	3	8	31	0	1	84
OG0000092	0	8	13	3	4	1	5	5	2	2	2	3	5	6	2	2	2	2	2	12	2	83
OG0000093	4	5	3	4	4	5	4	4	4	4	4	3	1	5	4	3	3	4	4	6	4	82
OG0000094	1	0	0	3	3	1	11	0	2	3	3	3	3	20	3	2	2	2	15	2	3	82
OG0000095	60	2	1	1	1	2	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	81
OG0000096	4	14	7	2	3	3	3	11	3	2	2	4	4	4	2	2	2	3	3	1	2	81
OG0000097	1	4	4	4	5	3	4	3	5	5	4	4	4	3	4	4	4	4	4	3	5	81
OG0000098	26	0	2	0	0	0	3	0	14	4	3	6	2	0	0	10	3	1	4	3	0	81
OG0000099	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	78	0	0	81
OG0000100	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	19	3	3	80
OG0000101	0	13	2	6	6	2	2	4	3	6	2	2	6	1	4	4	2	1	8	2	4	80
OG0000102	0	1	1	2	2	7	8	1	2	2	3	3	1	11	3	10	5	2	5	9	2	80
OG0000103	1	11	12	2	2	3	2	5	3	3	1	3	3	5	2	2	2	2	2	11	2	79
OG0000104	47	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	2	9	0	2	79
OG0000105	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78
OG0000106	2	1	0	4	4	17	2	0	3	6	2	5	7	0	7	2	2	3	3	6	2	78
OG0000107	15	16	0	0	2	8	3	5	2	1	1	1	2	1	1	4	1	1	10	2	2	78
OG0000108	1	6	8	3	3	3	5	3	3	3	3	2	3	8	3	3	3	5	4	2	4	78
OG0000109	13	2	0	0	0	8	6	0	1	0	0	0	0	1	0	3	1	0	35	8	0	78
OG0000110	0	0	0	2	6	0	4	0	2	3	2	2	13	2	3	6	13	1	17	1	0	77
OG0000111	29	9	1	0	0	2	1	1	0	0	0	0	0	6	0	1	1	5	10	10	0	76
OG0000112	5	4	5	3	3	5	4	5	3	3	2	3	2	4	3	3	3	4	5	4	3	76
OG0000113	0	16	46	0	0	1	0	9	0	0	0	0	0	0	0	0	0	0	0	4	0	76
OG0000114	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74
OG0000115	33	0	0	1	1	0	1	0	1	1	1	2	2	0	1	4	2	4	17	2	1	74
OG0000116	0	4	6	2	0	2	1	4	1	1	1	1	4	28	1	2	4	0	2	10	0	74
OG0000117	0	8	8	3	3	5	2	6	2	3	4	2	2	6	3	2	2	3	2	6	2	74
OG0000118	9	1	1	2	5	3	3	18	2	3	2	5	2	4	2	2	2	2	1	2	2	73
OG0000119	0	8	5	2	2	1	2	6	2	2	2	2	2	13	2	6	6	1	2	3	3	72
OG0000120	3	7	6	1	1	15	4	1	1	1	1	1	1	5	1	1	1	4	1	12	3	71
OG0000121	33	0	0	0	2	1	0	0	1	0	3	2	0	5	0	1	0	0	22	0	0	70
OG0000122	5	1	1	2	3	2	7	1	5	2	2	3	7	6	3	2	3	3	5	5	2	70
OG0000123	4	5	8	3	3	1	4	3	3	3	3	2	4	3	3	3	2	2	6	2	3	70
OG0000124	33	0	0	0	0	1	0	0	1	0	0	4	4	2	0	6	17	0	0	2	0	70
OG0000125	0	5	4	3	3	5	4	9	2	2	2	3	3	5	2	2	2	3	5	4	2	70
OG0000126	6	1	4	2	3	1	6	2	1	6	4	1	2	13	2	1	1	1	3	7	1	68
OG0000127	10	2	2	2	2	4	2	4	2	2	2	2	3	4	3	3	2	3	5	6	3	68
OG0000128	0	4	4	2	3	3	3	4	3	3	3	3	4	1	3	3	3	3	10	3	3	68
OG0000129	2	4	3	3	3	4	4	3	3	3	3	3	3	3	3	3	3	3	3	5	3	67
OG0000130	4	3	4	1	1	20	3	8	1	1	1	1	2	1	2	3	3	2	1	2	3	67
OG0000131	0	0	0	1	8	0	1	0	1	1	1	2	1	1	1	9	6	15	17	1	1	67
OG0000132	3	3	3	3	3	3	4	3	3	4	4	3	3	3	3	3	3	3	3	3	3	66
OG0000133	1	4	0	2	3	2	3	4	3	3	2	3	3	9	3	5	2	5	2	5	2	66
OG0000134	6	1	0	0	1	3	7	0	3	1	1	0	1	2	0	12	6	2	19	0	1	66
OG0000135	13	1	0	1	2	18	1	1	1	1	1	3	4	1	1	2	3	2	1	4	4	65
OG0000136	1	8	8	1	2	4	3	7	2	2	4	2	2	3	2	2	2	2	4	2	2	65
OG0000137	2	1	1	7	1	3	1	1	1	1	1	1	1	1	1	2	2	1	33	1	1	64
OG0000138	10	0	0	0	1	1	0	0	0	0	0	0	0	9	0	19	10	1	0	5	8	64
OG0000139	4	6	5	2	2	3	2	7	2	2	2	2	2	5	2	1	1	2	2	6	3	63
