"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC114881125",55.2702301122636,-4.70661084501951,0.559082238791919,103.415140749521,2.71789686298817e-24,2.01088129236284e-22
"LOC114881127",39.6948259521687,0.834467267820475,0.412902822799844,4.1097066476476,0.0426377575316133,0.0979089247022232
"LOC114881126",621.151752976787,0.457417266912268,0.190592012818842,5.81646089386332,0.0158768600076948,0.0442383611261352
"LOC114881129",37.5061114807359,0.516073945491971,0.358743250563339,2.07709906488098,0.149524109855016,0.264998174891563
"LOC114881781",661.619335595426,-0.0179258046963525,0.154324768335785,0.0151047098864296,0.902185319503245,0.941285388346997
"LOC114881782",3.26043968725158,1.68439826738838,1.06499869148538,2.46474743358986,0.116426415647838,0.218370856998429
"LOC114881783",0.333843191611537,-1.45488374385318,3.78503746596388,0.309819378529838,0.577791043033024,0.705659182962529
"LOC114881588",3.01622849716783,2.29982797305044,1.12339929158741,4.37259811193215,0.0365212672886251,0.0863603624210263
"LOC114881077",0.437489231735073,-0.142928952339664,3.12819390522465,0.00130840030877621,0.971145358454078,0.981313956853624
"LOC114881012",0,NA,NA,NA,NA,NA
"LOC114880353",2372.09024853583,0.461099031631347,0.141013424017403,10.8072322185043,0.00101104343831652,0.00435242826937034
"LOC114881107",0,NA,NA,NA,NA,NA
"LOC114881074",2372.56890984778,-0.387732612200816,0.202674619483899,3.60519537647468,0.0575993003691981,0.124268475018927
"LOC114881302",912.789804583646,-0.581306904977905,0.17679552388041,10.5699022500302,0.00114943804271854,0.00486516529294063
"LOC114881528",1214.56212201051,0.192136001749795,0.152629168680707,1.59335479135605,0.206847481820181,0.338682996937203
"LOC114881529",0.591211157252121,-2.20675299603923,2.88279710467652,0.895003739389843,0.344124934392781,0.495986821024816
"LOC114882300",15.9133166392303,2.2167449911596,1.80459916697151,1.47174946063186,NA,NA
"LOC114881935",5.41729959806779,0.0165810941326162,0.981155424262127,0.0103208535592287,0.919080845740259,0.951133833087038
"LOC114881277",8.83507613888518,-0.66929479116485,0.874600399568074,0.578053336467399,0.447076364039111,0.595472776898038
"LOC114881278",0,NA,NA,NA,NA,NA
"LOC114881521",4.72598951355442,-0.00424838786804142,0.865615878309885,0.00263923024023427,0.959027949381514,0.973983432576876
"LOC114881382",0.340651369913106,2.23199985783181,3.7629718374386,0.62720000231772,0.428384235322988,0.578441202532488
"LOC114882084",5.77405074162538,0.977542333893304,1.18312984096961,0.699502385599381,0.40295095041833,0.553322153890451
"LOC114881459",16.828692540424,2.22182201793125,0.641404631122143,11.9410876261485,0.000549094154531983,0.00258982019846831
"LOC114881441",5.16662326972791,-0.75770310185545,0.902112130599931,0.699910411826032,0.402813798806549,0.553202269416543
"LOC114881645",37.436590150074,-0.840314836572214,0.589295698990316,1.98657701016904,0.15869924366876,0.276968738203475
"LOC114881250",3.18562478283334,-1.45525946985218,1.17232837023516,1.57417615007841,0.209601570498985,0.3417805215101
"LOC114881213",0.812393298011629,-1.43069659513239,2.27599633085496,0.42136129418062,0.516258565380789,0.656142642990838
"LOC114881212",5.64182762341052,0.466880768310665,1.11797249725398,0.17567895051333,0.675113286315323,0.782904838932609
"LOC114882350",0.868140884536779,-0.119300770239962,2.721094139403,0.0022588404576851,0.962093004419194,0.97610232054761
"LOC114881600",0.0355518502137326,-0.130453201359572,3.7992448387889,-0.388008184993496,1,NA
"LOC114881599",0.262739491184071,-1.10350348073673,3.78911809354746,0.184192464249964,0.667794786804636,0.776853935425351
"LOC114882483",0.0355518502137326,-0.130453201359572,3.7992448387889,-0.388008184993496,1,NA
"LOC114881848",0,NA,NA,NA,NA,NA
"LOC114882415",0,NA,NA,NA,NA,NA
"LOC114882216",0,NA,NA,NA,NA,NA
"LOC114882286",0,NA,NA,NA,NA,NA
