Dbxref=GeneID:114882756,Genbank:XP_029055593.1
Dbxref=GeneID:114882756,Genbank:XP_029055602.1
Dbxref=GeneID:114882742,Genbank:XP_029055572.1
Dbxref=GeneID:114882742,Genbank:XP_029055563.1
Dbxref=GeneID:114882742,Genbank:XP_029055554.1
Dbxref=GeneID:114882742,Genbank:XP_029055579.1
Dbxref=GeneID:114873240,Genbank:XP_029037232.1
Dbxref=GeneID:114878893,Genbank:XP_029049043.1
Dbxref=GeneID:114878579,Genbank:XP_029048416.1
Dbxref=GeneID:114878579,Genbank:XP_029048501.1
Dbxref=GeneID:114879403,Genbank:XP_029050250.1
Dbxref=GeneID:114879403,Genbank:XP_029050412.1
Dbxref=GeneID:114879403,Genbank:XP_029050332.1
Dbxref=GeneID:114879403,Genbank:XP_029050166.1
Dbxref=GeneID:114879191,Genbank:XP_029049751.1
Dbxref=GeneID:114879191,Genbank:XP_029049832.1
Dbxref=GeneID:114878785,Genbank:XP_029048931.1
Dbxref=GeneID:114878785,Genbank:XP_029048844.1
Dbxref=GeneID:114878472,Genbank:XP_029048199.1
Dbxref=GeneID:114878472,Genbank:XP_029048285.1
Dbxref=GeneID:114879289,Genbank:XP_029049961.1
Dbxref=GeneID:114879289,Genbank:XP_029050043.1
Dbxref=GeneID:114878996,Genbank:XP_029049313.1
Dbxref=GeneID:114878996,Genbank:XP_029049395.1
Dbxref=GeneID:114878996,Genbank:XP_029049484.1
Dbxref=GeneID:114878673,Genbank:XP_029048629.1
Dbxref=GeneID:114878673,Genbank:XP_029048712.1
Dbxref=GeneID:114879134,Genbank:XP_029049618.1
Dbxref=GeneID:114878939,Genbank:XP_029049183.1
Dbxref=GeneID:114877709,Genbank:XP_029046688.1
Dbxref=GeneID:114877709,Genbank:XP_029046597.1
Dbxref=GeneID:114877709,Genbank:XP_029046517.1
Dbxref=GeneID:114878053,Genbank:XP_029047370.1
Dbxref=GeneID:114878053,Genbank:XP_029047288.1
Dbxref=GeneID:114870901,Genbank:XP_029031983.1
Dbxref=GeneID:114870901,Genbank:XP_029031973.1
Dbxref=GeneID:114870901,Genbank:XP_029031956.1
Dbxref=GeneID:114870901,Genbank:XP_029031965.1
Dbxref=GeneID:114870901,Genbank:XP_029031992.1
Dbxref=GeneID:114870924,Genbank:XP_029032006.1
Dbxref=GeneID:114870926,Genbank:XP_029032043.1
Dbxref=GeneID:114870926,Genbank:XP_029032032.1
Dbxref=GeneID:114870926,Genbank:XP_029032023.1
Dbxref=GeneID:114870932,Genbank:XP_029032057.1
Dbxref=GeneID:114870941,Genbank:XP_029032070.1
Dbxref=GeneID:114883069,Genbank:XP_029056290.1
Dbxref=GeneID:114882776,Genbank:XP_029055672.1
Dbxref=GeneID:114882837,Genbank:XP_029055800.1
Dbxref=GeneID:114882837,Genbank:XP_029055886.1
Dbxref=GeneID:114882837,Genbank:XP_029055971.1
Dbxref=GeneID:114883072,Genbank:XP_029056305.1
Dbxref=GeneID:114883078,Genbank:XP_029056319.1
Dbxref=GeneID:114881106,Genbank:XP_029053875.1
Dbxref=GeneID:114881106,Genbank:XP_029055539.1
Dbxref=GeneID:114881106,Genbank:XP_029055182.1
Dbxref=GeneID:114881106,Genbank:XP_029055370.1
Dbxref=GeneID:114881106,Genbank:XP_029054387.1
Dbxref=GeneID:114881106,Genbank:XP_029054808.1
Dbxref=GeneID:114881106,Genbank:XP_029055454.1
Dbxref=GeneID:114882970,Genbank:XP_029056097.1
Dbxref=GeneID:114876427,Genbank:XP_029043774.1
Dbxref=GeneID:114873617,Genbank:XP_029038010.1
Dbxref=GeneID:114874718,Genbank:XP_029040149.1
Dbxref=GeneID:114874789,Genbank:XP_029040274.1
Dbxref=GeneID:114873948,Genbank:XP_029038630.1
Dbxref=GeneID:114876377,Genbank:XP_029043657.1
Dbxref=GeneID:114870960,Genbank:XP_029032149.1
Dbxref=GeneID:114883034,Genbank:XP_029056230.1
Dbxref=GeneID:114883034,Genbank:XP_029056410.1
Dbxref=GeneID:114883034,Genbank:XP_029056324.1
Dbxref=GeneID:114883083,Genbank:XP_029056334.1
Dbxref=GeneID:114883089,Genbank:XP_029056344.1
Dbxref=GeneID:114883220,Genbank:XP_029031842.1
Dbxref=GeneID:114883220,Genbank:XP_029031929.1
Dbxref=GeneID:114883220,Genbank:XP_029032017.1
Dbxref=GeneID:114883157,Genbank:XP_029056547.1
Dbxref=GeneID:114883096,Genbank:XP_029056356.1
Dbxref=GeneID:114870850,Genbank:XP_029053203.1
Dbxref=GeneID:114870850,Genbank:XP_029055799.1
Dbxref=GeneID:114870850,Genbank:XP_029044645.1
Dbxref=GeneID:114870850,Genbank:XP_029034008.1
Dbxref=GeneID:114870850,Genbank:XP_029032696.1
Dbxref=GeneID:114870850,Genbank:XP_029036161.1
Dbxref=GeneID:114870850,Genbank:XP_029031841.1
Dbxref=GeneID:114874214,Genbank:XP_029039545.1
Dbxref=GeneID:114872164,Genbank:XP_029037018.1
Dbxref=GeneID:114872164,Genbank:XP_029035307.1
