Orthogroup	Duplications (all)	Duplications (50% support)
OG0000253	24	20
OG0000254	19	19
OG0000255	26	23
OG0000256	38	38
OG0000257	18	17
OG0000258	30	25
OG0000259	43	42
OG0000260	15	5
OG0000261	39	38
OG0000262	44	37
OG0000263	37	37
OG0000264	17	17
OG0000265	26	21
OG0000266	14	13
OG0000267	56	56
OG0000268	36	34
OG0000269	37	35
OG0000270	14	11
OG0000271	20	17
OG0000272	15	10
OG0000273	30	29
OG0000274	23	23
OG0000275	37	36
OG0000276	29	26
OG0000277	36	36
OG0000278	36	36
OG0000279	32	30
OG0000280	29	23
OG0000281	15	13
OG0000282	44	39
OG0000283	37	37
OG0000284	7	7
OG0000285	24	9
OG0000286	33	32
OG0000287	21	21
OG0000288	16	14
OG0000289	35	35
OG0000290	30	29
OG0000291	13	9
OG0000292	24	23
OG0000293	37	36
OG0000294	29	29
OG0000295	32	29
OG0000296	33	33
OG0000297	33	32
OG0000298	34	34
OG0000299	35	35
OG0000300	20	20
OG0000301	14	13
OG0000302	17	14
OG0000303	10	10
OG0000304	34	34
OG0000305	24	24
OG0000306	19	15
OG0000307	34	34
OG0000308	35	35
OG0000309	37	37
OG0000310	35	35
OG0000311	33	33
OG0000312	33	33
OG0000313	28	25
OG0000314	19	19
OG0000315	31	28
OG0000316	13	10
OG0000317	33	33
OG0000318	27	26
OG0000319	30	17
OG0000320	32	32
OG0000321	33	33
OG0000322	17	15
OG0000323	33	31
OG0000324	17	9
OG0000325	34	34
OG0000326	31	30
OG0000327	21	19
OG0000328	44	44
OG0000329	36	36
OG0000330	20	19
OG0000331	37	36
OG0000332	32	32
OG0000333	22	22
OG0000334	32	31
OG0000335	26	24
OG0000336	19	19
OG0000337	32	32
OG0000338	17	17
OG0000339	12	12
OG0000340	19	18
OG0000341	32	31
OG0000342	13	12
OG0000343	27	24
OG0000344	32	32
OG0000345	32	31
OG0000346	41	39
OG0000347	32	32
OG0000348	37	37
OG0000349	32	31
OG0000350	32	32
OG0000351	29	27
OG0000352	34	34
OG0000353	44	43
OG0000354	40	40
OG0000355	52	52
OG0000356	18	18
OG0000357	31	31
OG0000358	30	30
OG0000359	50	50
OG0000360	31	31
OG0000361	31	31
OG0000362	15	15
OG0000363	8	8
OG0000364	30	28
OG0000365	32	32
OG0000366	24	18
OG0000367	31	31
OG0000368	16	16
OG0000369	16	15
OG0000370	10	7
OG0000371	30	30
OG0000372	17	17
OG0000373	38	36
OG0000374	39	35
OG0000375	30	30
OG0000376	34	34
OG0000377	13	13
OG0000378	12	9
OG0000379	29	28
OG0000380	31	31
OG0000381	9	8
OG0000382	15	15
OG0000383	27	26
OG0000384	12	12
OG0000385	19	17
OG0000386	11	10
OG0000387	27	24
OG0000388	10	9
OG0000389	20	19
OG0000390	22	16
OG0000391	31	31
OG0000392	27	14
OG0000393	40	35
OG0000394	29	29
OG0000395	15	14
OG0000396	19	16
OG0000397	30	30
OG0000398	26	25
OG0000399	27	26
OG0000400	27	26
OG0000401	32	32
OG0000402	21	16
OG0000403	28	28
OG0000404	49	49
OG0000405	10	9
OG0000406	9	6
OG0000407	12	12
OG0000408	9	9
OG0000409	28	28
OG0000410	11	9
OG0000411	8	8
OG0000412	13	12
OG0000413	28	28
OG0000414	17	17
OG0000415	28	28
OG0000416	15	12
OG0000417	10	9
OG0000418	16	16
OG0000419	27	25
OG0000420	13	13
OG0000421	28	28
OG0000422	31	31
OG0000423	28	28
OG0000424	16	15
OG0000425	28	28
OG0000426	27	27
OG0000427	8	7
OG0000428	13	12
OG0000429	28	28
OG0000430	20	19
OG0000431	26	26
OG0000432	29	29
OG0000433	21	20
OG0000434	30	30
OG0000435	32	28
OG0000436	8	6
OG0000437	27	27
OG0000438	17	12
OG0000439	27	27
OG0000440	18	15
OG0000441	25	24
OG0000442	27	27
OG0000443	26	26
OG0000444	27	27
OG0000445	8	8
OG0000446	27	27
OG0000447	25	24
OG0000448	27	27
OG0000449	25	25
OG0000450	24	16
OG0000451	27	27
OG0000452	8	8
OG0000453	27	27
OG0000454	28	28
OG0000455	28	28
OG0000456	25	24
OG0000457	26	26
OG0000458	27	27
OG0000459	27	27
OG0000460	10	6
OG0000461	27	27
OG0000462	27	27
OG0000463	16	14
OG0000464	13	12
OG0000465	30	29
OG0000466	24	23
OG0000467	29	29
OG0000468	28	27
OG0000469	29	29
OG0000470	30	30
OG0000471	25	19
OG0000472	29	28
OG0000473	32	27
OG0000474	31	31
OG0000475	20	18
OG0000476	26	26
OG0000477	12	12
OG0000478	26	26
OG0000479	26	25
OG0000480	23	22
OG0000481	46	46
OG0000482	16	13
OG0000483	24	24
OG0000484	27	27
OG0000485	14	13
OG0000486	28	28
OG0000487	13	13
OG0000488	26	26
OG0000489	26	26
OG0000490	26	26
OG0000491	28	28
OG0000492	26	26
OG0000493	27	27
OG0000494	19	15
OG0000495	27	26
OG0000496	27	27
OG0000497	6	6
OG0000498	26	26
OG0000499	28	23
OG0000500	11	8
OG0000501	9	7
OG0000502	10	9
OG0000503	27	27
OG0000504	17	17
OG0000505	8	7
OG0000506	19	19
OG0000507	27	26
OG0000508	28	27
OG0000509	22	21
OG0000510	27	26
OG0000511	26	26
OG0000512	18	13
OG0000513	27	25
OG0000514	26	25
OG0000515	34	34
OG0000516	25	25
OG0000517	9	8
OG0000518	25	25
OG0000519	25	25
OG0000520	12	12
OG0000521	27	27
OG0000522	16	16
OG0000523	24	21
OG0000524	25	24
OG0000525	25	25
OG0000526	11	11
OG0000527	13	8
OG0000528	23	23
OG0000529	12	12
OG0000530	6	4
OG0000531	22	20
OG0000532	45	45
OG0000533	25	25
OG0000534	29	24
OG0000535	45	45
OG0000536	12	9
OG0000537	9	8
OG0000538	14	12
OG0000539	30	23
OG0000540	12	12
OG0000541	27	27
OG0000542	31	31
OG0000543	26	26
OG0000544	23	21
OG0000545	15	14
OG0000546	12	11
OG0000547	25	25
OG0000548	12	10
OG0000549	23	22
OG0000550	25	21
OG0000551	19	18
OG0000552	9	8
OG0000553	20	17
OG0000554	12	12
OG0000555	11	9
OG0000556	24	24
OG0000557	24	24
OG0000558	5	5
OG0000559	24	24
OG0000560	24	24
OG0000561	9	9
OG0000562	8	8
OG0000563	24	24
OG0000564	25	24
OG0000565	9	8
OG0000566	26	25
OG0000567	10	10
OG0000568	24	24
OG0000569	7	7
OG0000570	25	24
OG0000571	18	14
OG0000572	23	22
OG0000573	26	26
OG0000574	13	13
OG0000575	10	10
OG0000576	25	24
OG0000577	28	27
OG0000578	32	32
OG0000579	27	27
OG0000580	44	44
OG0000581	44	44
OG0000582	20	19
OG0000583	23	21
OG0000584	10	10
OG0000585	11	11
OG0000586	9	9
OG0000587	23	23
OG0000588	23	23
OG0000589	23	23
OG0000590	29	29
OG0000591	7	7
OG0000592	13	12
