Orthogroup	Duplications (all)	Duplications (50% support)
OG0002831	9	9
OG0002832	6	6
OG0002833	12	12
OG0002834	8	8
OG0002835	11	11
OG0002836	9	9
OG0002837	10	10
OG0002838	8	8
OG0002839	25	25
OG0002840	1	1
OG0002841	1	1
OG0002842	16	16
OG0002843	13	13
OG0002844	11	11
OG0002845	7	3
OG0002846	12	11
OG0002847	11	11
OG0002848	11	11
OG0002849	13	13
OG0002850	12	10
OG0002851	13	13
OG0002852	12	11
OG0002853	20	16
OG0002854	26	26
OG0002855	27	27
OG0002856	5	5
OG0002857	6	6
OG0002858	5	5
OG0002859	6	6
OG0002860	6	6
OG0002861	7	7
OG0002862	12	12
OG0002863	6	6
OG0002864	7	7
OG0002865	5	5
OG0002866	6	6
OG0002867	6	6
OG0002868	5	5
OG0002869	6	6
OG0002870	6	6
OG0002871	6	6
OG0002872	6	6
OG0002873	6	6
OG0002874	4	3
OG0002875	6	6
OG0002876	6	6
OG0002877	7	7
OG0002878	7	7
OG0002879	5	4
OG0002880	7	7
OG0002881	6	6
OG0002882	6	6
OG0002883	6	6
OG0002884	7	6
OG0002885	6	6
OG0002886	6	6
OG0002887	7	7
OG0002888	6	6
OG0002889	7	7
OG0002890	6	6
OG0002891	6	6
OG0002892	6	6
OG0002893	5	3
OG0002894	6	6
OG0002895	6	6
OG0002896	6	6
OG0002897	5	3
OG0002898	6	4
OG0002899	6	6
OG0002900	3	2
OG0002901	6	6
OG0002902	6	6
OG0002903	6	6
OG0002904	6	2
OG0002905	6	6
OG0002906	6	6
OG0002907	6	5
OG0002908	6	6
OG0002909	6	6
OG0002910	7	7
OG0002911	6	5
OG0002912	8	8
OG0002913	6	6
OG0002914	6	6
OG0002915	6	3
OG0002916	6	6
OG0002917	6	6
OG0002918	6	6
OG0002919	6	6
OG0002920	5	5
OG0002921	8	7
OG0002922	6	5
OG0002923	6	6
OG0002924	6	6
OG0002925	7	7
OG0002926	7	7
OG0002927	6	6
OG0002928	6	6
OG0002929	6	6
OG0002930	6	6
OG0002931	7	7
OG0002932	6	6
OG0002933	6	6
OG0002934	6	6
OG0002935	6	5
OG0002936	6	6
OG0002937	9	8
OG0002938	6	6
OG0002939	7	7
OG0002940	6	6
OG0002941	6	6
OG0002942	6	6
OG0002943	5	5
OG0002944	7	7
OG0002945	4	1
OG0002946	6	6
OG0002947	6	6
OG0002948	7	6
OG0002949	9	9
OG0002950	6	6
OG0002951	7	7
OG0002952	6	6
OG0002953	6	5
OG0002954	8	7
OG0002955	3	3
OG0002956	5	4
OG0002957	3	2
OG0002958	8	8
OG0002959	6	6
OG0002960	6	6
OG0002961	8	8
OG0002962	6	6
OG0002963	6	6
OG0002964	7	7
OG0002965	6	6
OG0002966	6	6
OG0002967	6	6
OG0002968	6	6
OG0002969	6	6
OG0002970	6	6
OG0002971	6	5
OG0002972	6	6
OG0002973	6	6
OG0002974	6	6
OG0002975	6	6
OG0002976	7	7
OG0002977	7	7
OG0002978	8	8
OG0002979	6	6
OG0002980	12	12
OG0002981	6	6
OG0002982	6	6
OG0002983	6	6
OG0002984	6	6
OG0002985	6	6
OG0002986	6	6
OG0002987	6	6
OG0002988	7	6
OG0002989	5	4
OG0002990	6	6
OG0002991	6	6
OG0002992	6	5
OG0002993	4	3
OG0002994	7	7
OG0002995	3	2
OG0002996	7	7
OG0002997	6	6
OG0002998	6	6
OG0002999	5	4
OG0003000	6	6
OG0003001	6	6
OG0003002	5	5
OG0003003	6	6
OG0003004	7	7
OG0003005	7	7
OG0003006	6	6
OG0003007	7	7
OG0003008	5	5
OG0003009	6	6
OG0003010	6	6
OG0003011	6	6
OG0003012	6	6
OG0003013	6	6
OG0003014	6	6
OG0003015	6	6
OG0003016	7	7
OG0003017	6	6
OG0003018	6	6
OG0003019	6	6
OG0003020	6	6
OG0003021	6	6
OG0003022	7	7
OG0003023	6	6
OG0003024	6	6
OG0003025	6	6
OG0003026	6	6
OG0003027	6	6
OG0003028	6	6
OG0003029	5	5
OG0003030	6	6
OG0003031	6	6
OG0003032	6	6
OG0003033	6	6
OG0003034	6	6
OG0003035	8	8
OG0003036	7	7
OG0003037	6	6
OG0003038	6	6
OG0003039	6	6
OG0003040	6	6
OG0003041	6	6
OG0003042	6	6
OG0003043	6	6
OG0003044	6	6
OG0003045	6	6
OG0003046	6	6
OG0003047	4	3
OG0003048	6	6
OG0003049	7	7
OG0003050	7	7
OG0003051	7	6
OG0003052	6	5
OG0003053	6	6
OG0003054	6	6
OG0003055	6	6
OG0003056	6	6
OG0003057	6	6
OG0003058	6	6
OG0003059	6	6
OG0003060	6	6
OG0003061	5	4
OG0003062	6	6
OG0003063	5	3
OG0003064	6	6
OG0003065	6	6
OG0003066	6	5
OG0003067	4	3
OG0003068	6	6
OG0003069	6	6
OG0003070	6	6
OG0003071	6	6
OG0003072	5	5
OG0003073	6	6
OG0003074	6	5
OG0003075	6	5
OG0003076	6	6
OG0003077	6	6
OG0003078	6	6
OG0003079	7	7
OG0003080	6	6
OG0003081	6	4
OG0003082	7	7
OG0003083	7	7
OG0003084	6	6
OG0003085	6	5
OG0003086	5	5
OG0003087	8	8
OG0003088	6	6
OG0003089	6	6
OG0003090	7	7
OG0003091	6	6
OG0003092	6	6
OG0003093	8	7
OG0003094	6	6
OG0003095	6	6
OG0003096	9	9
OG0003097	6	6
OG0003098	6	6
OG0003099	6	6
OG0003100	6	5
OG0003101	6	6
OG0003102	6	5
OG0003103	6	6
OG0003104	7	7
OG0003105	6	6
OG0003106	8	8
OG0003107	6	6
OG0003108	5	4
OG0003109	5	4
OG0003110	7	7
OG0003111	6	6
OG0003112	7	7
OG0003113	8	8
OG0003114	5	4
OG0003115	5	4
OG0003116	6	6
OG0003117	20	18
OG0003118	6	6
OG0003119	7	7
OG0003120	5	5
OG0003121	5	4
OG0003122	6	6
OG0003123	6	6
OG0003124	7	7
OG0003125	6	6
OG0003126	6	6
OG0003127	6	6
OG0003128	6	6
OG0003129	7	7
OG0003130	6	6
OG0003131	6	6
OG0003132	6	6
OG0003133	7	7
OG0003134	6	6
OG0003135	5	5
OG0003136	6	6
OG0003137	6	6
OG0003138	6	4
OG0003139	7	7
OG0003140	7	7
OG0003141	9	9
OG0003142	6	6
OG0003143	7	7
OG0003144	6	6
OG0003145	7	7
OG0003146	6	6
OG0003147	6	6
OG0003148	6	6
OG0003149	6	6
OG0003150	6	6
OG0003151	6	6
OG0003152	6	4
OG0003153	6	6
OG0003154	6	6
OG0003155	6	6
OG0003156	5	5
OG0003157	7	6
OG0003158	9	9
OG0003159	6	6
OG0003160	6	6
OG0003161	9	9
OG0003162	7	7
OG0003163	6	2
OG0003164	6	6
OG0003165	6	6
OG0003166	6	6
OG0003167	4	4
OG0003168	6	6
OG0003169	6	6
OG0003170	9	9
OG0003171	6	6
OG0003172	6	6
OG0003173	6	6
OG0003174	6	6
OG0003175	5	5
OG0003176	5	3
OG0003177	6	6
OG0003178	6	5
OG0003179	6	6
OG0003180	7	7
OG0003181	6	6
OG0003182	6	5
OG0003183	5	4
OG0003184	4	2
OG0003185	7	7
OG0003186	1	0
OG0003187	6	6
OG0003188	6	6
OG0003189	6	6
OG0003190	6	6
OG0003191	6	6
OG0003192	9	9
OG0003193	6	6
OG0003194	7	7
OG0003195	6	6
OG0003196	8	8
OG0003197	7	7
OG0003198	9	9
OG0003199	6	5
OG0003200	2	1
OG0003201	6	6
OG0003202	8	8
OG0003203	6	6
OG0003204	9	9
OG0003205	9	9
OG0003206	6	6
OG0003207	6	6
OG0003208	5	5
OG0003209	5	5
OG0003210	10	10
OG0003211	6	5
OG0003212	5	5
OG0003213	6	6
OG0003214	4	1
OG0003215	6	6
OG0003216	22	22
OG0003217	9	9
OG0003218	8	8
OG0003219	8	8
OG0003220	8	8
OG0003221	7	7
OG0003222	6	6
OG0003223	8	8
OG0003224	12	12
OG0003225	7	7
OG0003226	7	7
OG0003227	7	7
OG0003228	7	7
OG0003229	8	8
OG0003230	7	7
OG0003231	7	7
OG0003232	7	7
OG0003233	23	23
OG0003234	6	4
OG0003235	9	8
OG0003236	10	10
OG0003237	7	7
OG0003238	7	7
OG0003239	3	2
OG0003240	9	9
OG0003241	6	5
OG0003242	8	8
OG0003243	3	2
OG0003244	8	8
OG0003245	9	8
OG0003246	7	7
OG0003247	7	7
OG0003248	7	7
OG0003249	8	8
OG0003250	7	7
OG0003251	12	12
OG0003252	11	9
OG0003253	10	8
OG0003254	12	12
OG0003255	7	6
OG0003256	10	10
OG0003257	9	9
OG0003258	11	11
OG0003259	10	10
OG0003260	24	23
OG0003261	13	12
OG0003262	5	4
OG0003263	5	5
OG0003264	4	3
OG0003265	5	4
OG0003266	5	5
OG0003267	5	5
OG0003268	5	5
OG0003269	5	5
OG0003270	5	5
OG0003271	5	5
OG0003272	5	5
OG0003273	5	5
OG0003274	5	5
OG0003275	5	5
OG0003276	6	6
OG0003277	5	5
OG0003278	11	11
OG0003279	5	5
OG0003280	5	5
OG0003281	5	5
OG0003282	5	5
OG0003283	9	9
OG0003284	5	5
OG0003285	5	5
OG0003286	5	5
OG0003287	7	6
OG0003288	5	5
OG0003289	5	5
OG0003290	5	5
OG0003291	5	5
OG0003292	5	5
OG0003293	5	5
OG0003294	5	5
OG0003295	5	5
OG0003296	5	5
OG0003297	6	6
OG0003298	5	5
OG0003299	5	5
OG0003300	5	5
OG0003301	5	2
OG0003302	5	5
OG0003303	5	4
OG0003304	6	6
OG0003305	5	5
OG0003306	6	6
OG0003307	4	3
OG0003308	5	5
OG0003309	5	5
OG0003310	6	5
OG0003311	5	5
OG0003312	6	6
OG0003313	5	5
OG0003314	6	6
OG0003315	7	7
OG0003316	6	5
OG0003317	6	6
OG0003318	5	5
OG0003319	5	5
OG0003320	5	5
OG0003321	5	5
OG0003322	5	5
OG0003323	5	5
OG0003324	5	5
OG0003325	5	5
OG0003326	9	6
OG0003327	5	5
OG0003328	5	5
OG0003329	5	5
OG0003330	5	5
OG0003331	5	5
OG0003332	5	5
OG0003333	6	6
OG0003334	5	5
OG0003335	5	5
OG0003336	5	5
OG0003337	5	5
OG0003338	25	25
OG0003339	5	4
OG0003340	5	5
OG0003341	5	5
OG0003342	5	5
OG0003343	5	5
OG0003344	8	8
OG0003345	5	4
OG0003346	4	3
OG0003347	6	6
OG0003348	6	6
OG0003349	5	5
OG0003350	5	5
OG0003351	5	5
OG0003352	5	5
OG0003353	5	5
OG0003354	4	4
OG0003355	5	5
OG0003356	5	5
OG0003357	5	5
OG0003358	5	5
OG0003359	8	8
OG0003360	5	5
OG0003361	5	5
OG0003362	5	4
OG0003363	5	5
OG0003364	5	5
OG0003365	5	5
OG0003366	5	5
OG0003367	5	5
OG0003368	6	6
OG0003369	3	2
OG0003370	6	6
OG0003371	5	5
OG0003372	5	5
OG0003373	9	9
OG0003374	5	5
OG0003375	9	9
OG0003376	5	5
OG0003377	5	5
OG0003378	5	5
OG0003379	6	5
OG0003380	5	5
OG0003381	6	6
OG0003382	5	3
OG0003383	5	5
OG0003384	7	7
OG0003385	4	4
OG0003386	4	3
OG0003387	5	5
OG0003388	4	3
OG0003389	3	3
OG0003390	5	5
OG0003391	6	6
OG0003392	5	5
OG0003393	6	6
OG0003394	6	6
OG0003395	5	5
OG0003396	4	3
OG0003397	6	6
OG0003398	4	3
OG0003399	5	5
OG0003400	3	2
OG0003401	5	5
OG0003402	4	4
OG0003403	5	5
OG0003404	5	2
OG0003405	5	5
OG0003406	5	5
OG0003407	5	5
OG0003408	5	4
OG0003409	6	6
OG0003410	5	5
OG0003411	5	5
OG0003412	4	3
OG0003413	6	6
OG0003414	5	5
OG0003415	8	7
OG0003416	5	5
OG0003417	5	5
OG0003418	6	5
OG0003419	5	5
OG0003420	5	5
OG0003421	5	5
OG0003422	5	5
OG0003423	6	6
OG0003424	5	5
OG0003425	5	5
OG0003426	5	5
OG0003427	7	6
OG0003428	5	5
OG0003429	3	0
OG0003430	6	6
OG0003431	5	5
OG0003432	5	5
OG0003433	6	6
OG0003434	8	8
OG0003435	5	5
OG0003436	5	5
OG0003437	5	5
OG0003438	5	5
OG0003439	5	5
OG0003440	25	25
OG0003441	6	6
OG0003442	5	5
OG0003443	8	7
OG0003444	5	5
OG0003445	5	5
OG0003446	4	2
OG0003447	5	5
OG0003448	6	6
OG0003449	5	5
OG0003450	5	5
OG0003451	5	5
OG0003452	5	5
OG0003453	5	5
OG0003454	5	5
OG0003455	5	5
OG0003456	5	5
OG0003457	5	5
OG0003458	5	5
OG0003459	6	6
OG0003460	5	5
OG0003461	7	7
OG0003462	6	5
OG0003463	5	5
OG0003464	5	4
OG0003465	4	3
OG0003466	5	5
OG0003467	5	5
OG0003468	4	4
OG0003469	9	9
OG0003470	9	8
OG0003471	5	5
OG0003472	5	5
OG0003473	5	5
OG0003474	5	5
OG0003475	6	6
OG0003476	6	5
OG0003477	5	5
OG0003478	5	5
OG0003479	5	5
OG0003480	5	5
OG0003481	5	5
OG0003482	5	5
OG0003483	4	4
OG0003484	5	4
OG0003485	5	5
OG0003486	5	5
OG0003487	5	5
OG0003488	5	5
OG0003489	3	3
OG0003490	7	7
OG0003491	5	5
OG0003492	8	8
OG0003493	5	5
OG0003494	5	5
OG0003495	5	5
OG0003496	6	6
OG0003497	5	5
OG0003498	5	5
OG0003499	5	5
OG0003500	5	5
OG0003501	5	5
OG0003502	4	4
OG0003503	5	5
OG0003504	5	5
OG0003505	25	25
OG0003506	6	6
OG0003507	5	5
OG0003508	5	5
OG0003509	6	6
OG0003510	5	5
OG0003511	5	5
OG0003512	5	5
OG0003513	5	5
OG0003514	6	6
OG0003515	5	5
OG0003516	8	8
OG0003517	5	5
OG0003518	5	5
OG0003519	5	5
OG0003520	5	4
OG0003521	5	5
OG0003522	7	7
OG0003523	5	5
OG0003524	5	5
OG0003525	5	4
OG0003526	6	6
OG0003527	5	5
OG0003528	7	7
OG0003529	5	5
OG0003530	5	5
OG0003531	9	9
OG0003532	5	3
OG0003533	5	4
OG0003534	3	2
OG0003535	5	5
OG0003536	5	5
OG0003537	6	5
OG0003538	5	5
OG0003539	6	6
OG0003540	8	8
OG0003541	4	4
OG0003542	6	6
OG0003543	5	5
OG0003544	5	5
OG0003545	3	1
OG0003546	5	5
OG0003547	5	5
OG0003548	7	6
OG0003549	5	5
OG0003550	5	5
OG0003551	5	5
OG0003552	6	6
OG0003553	5	5
OG0003554	5	5
OG0003555	6	6
OG0003556	8	7
OG0003557	5	5
OG0003558	4	3
OG0003559	1	0
OG0003560	5	5
OG0003561	5	5
OG0003562	8	8
OG0003563	5	5
OG0003564	5	5
OG0003565	5	5
OG0003566	5	5
OG0003567	5	5
OG0003568	5	5
OG0003569	5	5
OG0003570	5	5
OG0003571	5	5
OG0003572	5	5
OG0003573	5	5
OG0003574	5	5
OG0003575	5	5
OG0003576	5	5
OG0003577	4	4
OG0003578	5	5
OG0003579	6	4
OG0003580	5	4
OG0003581	5	5
OG0003582	6	6
OG0003583	5	2
OG0003584	5	5
OG0003585	5	5
OG0003586	6	6
OG0003587	5	5
OG0003588	5	5
OG0003589	5	5
OG0003590	22	22
OG0003591	5	4
OG0003592	5	5
OG0003593	4	1
OG0003594	17	17
OG0003595	8	7
OG0003596	5	5
OG0003597	5	3
OG0003598	5	5
OG0003599	5	5
OG0003600	5	5
OG0003601	5	5
OG0003602	5	4
OG0003603	5	5
OG0003604	5	5
OG0003605	5	5
OG0003606	5	5
OG0003607	5	5
OG0003608	5	5
OG0003609	5	5
OG0003610	5	4
OG0003611	5	5
OG0003612	6	6
OG0003613	4	4
OG0003614	6	6
OG0003615	5	5
OG0003616	7	7
OG0003617	7	5
OG0003618	5	5
OG0003619	5	5
OG0003620	5	4
OG0003621	6	6
OG0003622	2	0
OG0003623	5	4
OG0003624	4	3
OG0003625	2	0
OG0003626	5	5
OG0003627	4	4
OG0003628	6	6
OG0003629	6	6
OG0003630	5	4
OG0003631	6	6
OG0003632	5	5
OG0003633	7	7
OG0003634	5	5
OG0003635	4	2
OG0003636	6	6
OG0003637	5	5
OG0003638	3	2
OG0003639	6	6
OG0003640	5	5
OG0003641	3	2
OG0003642	3	1
OG0003643	8	8
OG0003644	5	5
OG0003645	5	5
OG0003646	6	6
OG0003647	5	5
OG0003648	6	6
OG0003649	3	0
OG0003650	4	2
OG0003651	9	9
OG0003652	9	9
OG0003653	6	6
OG0003654	7	7
OG0003655	7	7
OG0003656	6	6
OG0003657	7	7
OG0003658	6	6
OG0003659	15	14
OG0003660	13	12
OG0003661	6	6
OG0003662	7	7
OG0003663	7	2
OG0003664	7	7
OG0003665	6	6
OG0003666	6	6
OG0003667	6	6
OG0003668	7	7
OG0003669	7	7
OG0003670	7	7
OG0003671	6	6
OG0003672	8	8
OG0003673	6	6
OG0003674	6	6
OG0003675	4	4
OG0003676	7	7
OG0003677	6	6
OG0003678	8	8
OG0003679	7	7
OG0003680	6	5
OG0003681	6	6
OG0003682	6	6
OG0003683	7	7
OG0003684	5	4
OG0003685	7	7
OG0003686	6	6
OG0003687	6	6
OG0003688	8	6
OG0003689	4	2
OG0003690	6	6
OG0003691	5	5
OG0003692	6	6
OG0003693	12	12
OG0003694	5	2
OG0003695	10	10
OG0003696	9	9
OG0003697	10	10
OG0003698	11	11
OG0003699	12	12
OG0003700	9	9
OG0003701	10	10
OG0003702	11	8
OG0003703	10	10
OG0003704	9	7
OG0003705	12	12
OG0003706	2	2
OG0003707	25	25
OG0003708	24	24
OG0003709	3	2
OG0003710	4	4
OG0003711	4	4
OG0003712	4	4
OG0003713	4	3
OG0003714	4	4
OG0003715	4	4
OG0003716	5	5
OG0003717	5	4
OG0003718	8	8
OG0003719	4	4
OG0003720	4	4
OG0003721	4	4
OG0003722	4	4
OG0003723	4	4
OG0003724	4	3
OG0003725	8	8
OG0003726	4	4
OG0003727	5	5
OG0003728	5	5
OG0003729	4	4
OG0003730	4	4
OG0003731	4	4
OG0003732	4	4
OG0003733	5	5
OG0003734	4	4
OG0003735	4	4
OG0003736	4	4
OG0003737	4	4
OG0003738	4	4
OG0003739	3	2
OG0003740	4	4
OG0003741	4	4
OG0003742	4	4
OG0003743	4	4
OG0003744	4	4
OG0003745	4	4
OG0003746	4	1
OG0003747	5	5
OG0003748	5	4
OG0003749	5	5
OG0003750	4	4
OG0003751	5	4
OG0003752	4	4
OG0003753	5	5
OG0003754	4	4
OG0003755	4	4
OG0003756	4	4
OG0003757	4	4
OG0003758	4	4
OG0003759	4	4
OG0003760	4	4
OG0003761	4	4
OG0003762	4	4
OG0003763	4	4
OG0003764	7	7
OG0003765	4	4
OG0003766	5	5
OG0003767	4	3
OG0003768	4	4
OG0003769	4	4
OG0003770	4	4
OG0003771	5	5
OG0003772	4	2
OG0003773	5	5
OG0003774	4	4
OG0003775	3	2
OG0003776	4	4
OG0003777	4	4
OG0003778	4	4
OG0003779	4	4
OG0003780	4	4
OG0003781	4	4
OG0003782	4	3
OG0003783	4	4
OG0003784	4	4
OG0003785	4	4
OG0003786	5	5
OG0003787	4	4
OG0003788	4	4
OG0003789	4	4
OG0003790	6	6
OG0003791	3	2
OG0003792	4	4
OG0003793	4	4
OG0003794	4	4
OG0003795	4	4
OG0003796	4	4
OG0003797	5	5
OG0003798	4	4
OG0003799	4	4
OG0003800	4	4
OG0003801	4	4
OG0003802	5	5
OG0003803	4	4
OG0003804	4	3
OG0003805	4	4
OG0003806	4	4
OG0003807	4	4
OG0003808	2	1
OG0003809	5	5
OG0003810	4	4
OG0003811	4	4
OG0003812	4	4
OG0003813	4	4
OG0003814	4	4
OG0003815	4	4
OG0003816	5	5
OG0003817	4	4
OG0003818	2	1
OG0003819	4	4
OG0003820	4	4
OG0003821	4	4
OG0003822	6	6
OG0003823	4	3
OG0003824	4	4
OG0003825	5	5
OG0003826	4	2
OG0003827	5	5
OG0003828	4	4
OG0003829	4	4
OG0003830	4	3
OG0003831	4	4
OG0003832	3	3
OG0003833	4	4
OG0003834	4	3
OG0003835	4	4
OG0003836	6	5
OG0003837	5	5
OG0003838	4	4
OG0003839	4	4
OG0003840	5	4
OG0003841	4	4
OG0003842	4	4
OG0003843	4	4
OG0003844	5	5
OG0003845	4	4
OG0003846	4	4
OG0003847	4	3
OG0003848	4	4
OG0003849	4	4
OG0003850	4	4
OG0003851	5	5
OG0003852	4	4
OG0003853	4	3
OG0003854	4	4
OG0003855	4	4
OG0003856	4	4
OG0003857	4	3
OG0003858	9	9
OG0003859	4	4
OG0003860	6	6
OG0003861	4	4
OG0003862	7	7
OG0003863	5	5
OG0003864	4	4
OG0003865	7	7
OG0003866	4	4
OG0003867	4	4
OG0003868	5	5
OG0003869	4	4
OG0003870	4	4
OG0003871	4	4
OG0003872	5	5
OG0003873	5	5
OG0003874	4	4
OG0003875	4	4
OG0003876	4	4
OG0003877	4	4
OG0003878	4	4
OG0003879	4	4
OG0003880	4	4
OG0003881	5	5
OG0003882	5	5
OG0003883	4	4
OG0003884	4	4
OG0003885	6	6
OG0003886	6	6
OG0003887	4	4
OG0003888	4	4
OG0003889	4	4
OG0003890	4	4
OG0003891	4	4
OG0003892	4	3
OG0003893	4	4
OG0003894	4	4
OG0003895	5	3
OG0003896	5	5
OG0003897	5	5
OG0003898	3	2
OG0003899	4	4
OG0003900	3	3
OG0003901	4	4
OG0003902	4	4
OG0003903	3	2
OG0003904	4	4
OG0003905	5	5
OG0003906	4	4
OG0003907	5	5
OG0003908	4	4
OG0003909	4	4
OG0003910	4	4
OG0003911	6	6
OG0003912	4	4
OG0003913	4	4
OG0003914	3	3
OG0003915	4	3
OG0003916	4	4
OG0003917	5	5
OG0003918	4	4
OG0003919	4	4
OG0003920	4	4
OG0003921	4	4
OG0003922	4	4
OG0003923	5	5
OG0003924	4	4
OG0003925	4	4
OG0003926	4	4
OG0003927	3	2
OG0003928	4	4
OG0003929	4	4
OG0003930	5	5
OG0003931	4	4
OG0003932	4	4
OG0003933	4	4
OG0003934	4	4
OG0003935	4	4
OG0003936	4	4
OG0003937	5	5
OG0003938	5	5
OG0003939	4	4
OG0003940	5	5
OG0003941	4	4
OG0003942	4	3
OG0003943	4	4
OG0003944	4	4
OG0003945	4	4
OG0003946	4	4
OG0003947	4	4
OG0003948	4	4
OG0003949	24	24
OG0003950	6	6
OG0003951	4	4
OG0003952	4	4
OG0003953	4	3
OG0003954	5	5
OG0003955	5	5
OG0003956	4	4
OG0003957	4	4
OG0003958	4	4
OG0003959	4	3
OG0003960	4	4
OG0003961	5	5
OG0003962	4	4
OG0003963	4	4
OG0003964	4	4
OG0003965	4	4
OG0003966	4	4
OG0003967	5	5
OG0003968	4	4
OG0003969	4	4
OG0003970	4	4
OG0003971	4	3
OG0003972	4	4
OG0003973	5	5
OG0003974	4	4
OG0003975	4	3
OG0003976	4	4
OG0003977	4	4
OG0003978	4	4
OG0003979	4	4
OG0003980	4	4
OG0003981	4	4
OG0003982	4	4
OG0003983	4	3
OG0003984	5	5
OG0003985	4	4
OG0003986	5	5
OG0003987	5	4
OG0003988	4	4
OG0003989	3	2
OG0003990	2	1
OG0003991	4	4
OG0003992	5	5
OG0003993	8	8
OG0003994	4	4
OG0003995	4	4
OG0003996	4	4
OG0003997	4	4
OG0003998	4	4
OG0003999	4	3
OG0004000	4	4
OG0004001	7	7
OG0004002	4	4
OG0004003	3	2
OG0004004	5	5
OG0004005	5	4
OG0004006	4	4
OG0004007	15	15
OG0004008	4	4
OG0004009	4	4
OG0004010	2	2
OG0004011	5	4
OG0004012	5	5
OG0004013	7	6
OG0004014	4	3
OG0004015	6	4
OG0004016	3	0
OG0004017	5	5
OG0004018	4	4
OG0004019	2	1
OG0004020	4	4
OG0004021	4	4
OG0004022	4	4
OG0004023	4	4
OG0004024	7	7
OG0004025	8	8
OG0004026	3	2
OG0004027	4	4
OG0004028	5	4
OG0004029	1	0
OG0004030	3	3
OG0004031	5	5
OG0004032	7	7
OG0004033	4	4
OG0004034	5	5
OG0004035	5	5
OG0004036	5	5
OG0004037	4	4
OG0004038	3	2
OG0004039	21	20
OG0004040	5	5
OG0004041	6	6
OG0004042	4	4
OG0004043	4	4
OG0004044	6	6
OG0004045	4	4
OG0004046	4	4
OG0004047	5	5
OG0004048	4	4
OG0004049	4	4
OG0004050	5	5
OG0004051	4	4
OG0004052	4	4
OG0004053	4	2
OG0004054	5	4
OG0004055	4	4
OG0004056	4	4
OG0004057	24	24
OG0004058	4	4
OG0004059	4	4
OG0004060	2	1
OG0004061	4	4
OG0004062	5	5
OG0004063	5	4
OG0004064	4	3
OG0004065	2	2
OG0004066	6	4
OG0004067	4	4
OG0004068	4	4
OG0004069	4	4
OG0004070	4	4
OG0004071	5	5
OG0004072	4	4
OG0004073	5	5
OG0004074	4	4
OG0004075	4	4
OG0004076	4	4
OG0004077	3	3
OG0004078	4	4
OG0004079	4	4
OG0004080	4	4
OG0004081	6	4
OG0004082	4	4
OG0004083	4	4
OG0004084	5	5
OG0004085	4	4
OG0004086	3	1
OG0004087	3	3
OG0004088	4	4
OG0004089	3	0
OG0004090	4	4
OG0004091	2	2
OG0004092	5	5
OG0004093	4	4
OG0004094	4	4
OG0004095	4	4
OG0004096	4	4
OG0004097	4	4
OG0004098	5	5
OG0004099	4	4
OG0004100	5	5
OG0004101	4	4
OG0004102	3	3
OG0004103	4	4
OG0004104	5	4
OG0004105	6	6
OG0004106	4	4
OG0004107	4	4
OG0004108	3	2
OG0004109	6	6
OG0004110	4	4
OG0004111	4	4
OG0004112	5	5
OG0004113	4	4
OG0004114	4	3
OG0004115	17	16
OG0004116	4	4
OG0004117	7	7
OG0004118	17	13
OG0004119	5	5
OG0004120	4	4
OG0004121	7	7
OG0004122	1	0
OG0004123	4	4
OG0004124	6	5
OG0004125	5	5
OG0004126	2	0
OG0004127	7	7
OG0004128	4	4
OG0004129	4	4
OG0004130	5	5
OG0004131	4	4
OG0004132	4	4
OG0004133	5	5
OG0004134	10	10
OG0004135	6	6
OG0004136	9	9
OG0004137	4	4
OG0004138	4	4
OG0004139	6	6
OG0004140	5	5
OG0004141	4	4
OG0004142	3	1
OG0004143	4	3
OG0004144	4	4
OG0004145	4	4
OG0004146	4	4
OG0004147	4	4
OG0004148	4	4
OG0004149	4	4
OG0004150	4	4
OG0004151	3	2
OG0004152	4	1
OG0004153	4	4
OG0004154	6	6
OG0004155	4	4
OG0004156	10	10
OG0004157	7	6
OG0004158	5	4
OG0004159	7	7
OG0004160	4	4
OG0004161	8	8
OG0004162	2	1
OG0004163	4	4
OG0004164	4	4
OG0004165	2	0
OG0004166	4	4
OG0004167	4	4
OG0004168	4	4
OG0004169	4	4
OG0004170	2	1
OG0004171	4	4
OG0004172	4	4
OG0004173	4	2
OG0004174	4	4
OG0004175	4	4
OG0004176	4	2
OG0004177	4	4
OG0004178	4	3
OG0004179	8	8
OG0004180	5	5
OG0004181	4	4
OG0004182	4	4
OG0004183	4	4
OG0004184	4	4
OG0004185	7	7
OG0004186	2	1
OG0004187	4	4
OG0004188	4	4
OG0004189	5	5
OG0004190	4	4
OG0004191	4	4
OG0004192	4	4
OG0004193	5	5
OG0004194	6	6
OG0004195	4	4
OG0004196	4	2
OG0004197	5	5
OG0004198	6	6
OG0004199	8	8
OG0004200	19	19
OG0004201	5	5
OG0004202	5	5
OG0004203	5	5
OG0004204	6	6
OG0004205	6	6
OG0004206	5	5
OG0004207	5	5
OG0004208	21	21
OG0004209	5	5
OG0004210	8	8
OG0004211	5	4
OG0004212	5	5
OG0004213	5	5
OG0004214	3	3
OG0004215	8	7
OG0004216	6	6
OG0004217	7	7
OG0004218	5	5
OG0004219	6	6
OG0004220	5	5
OG0004221	21	21
OG0004222	7	7
OG0004223	8	8
OG0004224	5	5
OG0004225	6	6
OG0004226	12	10
OG0004227	7	6
