GeneID,minPval,minFDR
LOC114871096,0.0812683743891,0.6906278457518988
LOC114871097,0.86706843708,1
LOC114871098,0.0315203191028,0.3865603529984192
LOC114871099,0.649523669243,1
LOC114871100,0.308446970429,1
LOC114871103,0.109832597411,1
LOC114871104,1,1
LOC114871105,1,1
LOC114871106,0.878121270352,1
LOC114871107,0.720328180221,1
LOC114871111,1,1
LOC114871113,1,1
LOC114871114,1,1
LOC114871116,1,1
LOC114871121,0.00414099704129,0.12124296255317932
LOC114871125,0.141046041948,0.8340573482952145
LOC114871126,1,1
LOC114871127,2.98491783202e-4,0.03846312503900802
LOC114871129,0.650954870999,1
LOC114871136,0.181620699122,1
LOC114871138,1,1
LOC114871139,1,1
LOC114871140,1,1
LOC114871143,0.312221413468,1
LOC114871144,0.120429876363,1
LOC114871146,0.145674853503,0.7623562418239789
LOC114871152,0.126722406965,0.8243323039372219
LOC114871154,0.088688999941900007,0.6196819086567931
LOC114871155,0.342591951335,0.9526864770717068
LOC114871158,0.618323508745,1
LOC114871161,1,1
LOC114871164,4.43868675633e-4,0.05056276448115916
LOC114871165,0.185748259268,0.8556683513660795
LOC114871166,0.0390609369719,0.47665989715228974
LOC114871167,1,1
LOC114871168,0.00374282536895,0.11861573929656372
LOC114871171,1,1
LOC114871174,0.882397367926,1
LOC114871175,1,1
LOC114871179,1,1
LOC114871182,1,1
LOC114871183,0.0670520938724,0.7854843691754376
LOC114871186,1,1
LOC114871189,0.325106804668,1
LOC114871192,0.127271758118,0.7412359575410525
LOC114871193,1,1
LOC114871196,0.175006488894,0.9359030345218984
LOC114871197,0.00958336352053,0.2172155556277576
LOC114871204,0.00167549517303,0.07276936803688154
LOC114871205,1,1
LOC114871208,0.288971551724,0.9123987818581544
LOC114871209,2.38588834651e-4,0.02070610243578321
LOC114871210,0.287340601504,1
LOC114871215,1,1
LOC114871220,1,1
LOC114871226,1,1
LOC114871227,1,1
LOC114871228,9.75329537436e-4,0.07493025876557735
LOC114871229,0.354822889622,1
LOC114871232,0.231690145656,1
LOC114871234,1,1
LOC114871237,0.0854657892824,0.5550516533236879
LOC114871240,1,1
LOC114871242,0.0169245057209,0.3499298528144966
LOC114871248,0.822569810059,1
LOC114871255,1,1
LOC114871263,0.26765143497,1
LOC114871265,1,1
LOC114871266,0.826904358895,1
LOC114871267,1,1
LOC114871270,1,1
LOC114871273,0.35468615237,1
LOC114871274,1,1
LOC114871277,1,1
LOC114871281,0.00101721956662,0.07725022616848666
LOC114871283,0.00488901139926,0.1310720675134943
LOC114871288,1,1
LOC114871291,2.71299840393e-4,0.02106783588155296
LOC114871294,0.00210239300719,0.11400428002297631
LOC114871295,0.0053339881299,0.12463068418900962
LOC114871296,0.0706600350573,0.6441353261097639
LOC114871297,0.00724070705263,0.17533411056476086
LOC114871299,0.349433954336,1
LOC114871303,0.0517819390356,0.6669069614195111
LOC114871304,0.101057015304,0.6716403773232786
LOC114871306,0.0958673051535,0.9529122821693358
LOC114871307,0.391237939574,0.9885700571631972
LOC114871312,0.0295010601796,0.3790567876314072
LOC114871313,1,1
LOC114871315,1,1
LOC114871316,0.721198186357,1
LOC114871320,1,1
LOC114871324,4.93993950268e-6,0.00220568298794662
LOC114871334,1,1
LOC114871337,1,1
LOC114871339,0.120808341354,0.7726093105926573
LOC114871341,1,1
LOC114871342,9.35663058902e-4,0.03421486003434238
LOC114871344,0.0105351286963,0.27080571387413177
LOC114871346,0.341577531578,1
LOC114871348,1,1
LOC114871349,0.00254465938999,0.0971283550213132
LOC114871350,1,1
LOC114871353,0.00410353172403,0.0886106381657728
LOC114871358,1,1
LOC114871359,1,1
LOC114871360,0.866498090362,1
LOC114871363,0.300068031828,1
LOC114871364,0.571200659025,1
LOC114871369,1,1
LOC114871374,1,1
LOC114871375,0.0697989555384,0.5506865647997142
LOC114871380,0.90151299371,1
LOC114871381,0.0965408756931,0.9562902034547404
LOC114871382,0.965252832002,1
LOC114871383,0.0756546816632,0.5213972532235456
