Orthogroup	Acyrthosiphon_pisum	Aedes_aegypti	Anopheles_gambiae	Apis_mellifera	Bombus_terrestris	Bombyx_mori	Ceratina_calcarata	Drosophila_melanogaster	Dufourea_novaeangliae	Eufriesea_mexicana	Habropoda_laboriosa	Megachile_rotundata	Megalopta_genalis	Nasonia_vitripennis	Nomia_melanderi	Osmia_bicornis	Osmia_lignaria	Polistes_dominula	Solenopsis_invicta	Tribolium_castaneum	Vespa_mandarinia	Total
OG0000187	0	7	1	1	7	1	4	1	1	2	1	1	4	7	16	1	4	3	3	1	2	68
OG0000188	3	6	8	2	3	1	4	3	3	3	3	2	4	4	2	3	2	2	5	2	2	67
OG0000189	5	3	7	0	4	4	2	8	3	4	3	1	1	3	1	4	3	3	2	4	2	67
OG0000190	1	1	2	4	3	1	4	1	3	3	3	1	4	19	5	3	1	1	3	2	2	67
OG0000191	5	13	6	1	1	4	1	7	1	1	1	1	2	1	1	1	1	2	2	14	1	67
OG0000192	1	1	1	3	1	1	6	1	1	3	1	1	17	2	1	2	3	1	7	6	7	67
OG0000193	0	13	38	0	0	2	0	10	0	0	0	0	0	0	0	0	0	0	0	4	0	67
OG0000194	0	1	1	5	3	0	5	1	4	3	4	4	4	5	5	3	4	5	4	2	4	67
OG0000195	0	0	0	0	0	7	0	0	3	0	0	5	14	17	3	5	4	1	6	0	2	67
OG0000196	5	2	3	3	5	5	3	2	2	4	2	2	2	3	6	3	4	2	5	2	1	66
OG0000197	2	9	1	4	6	6	3	1	3	3	1	2	5	9	2	3	4	0	1	1	0	66
OG0000198	38	1	1	2	0	4	1	1	0	2	1	2	1	1	2	3	0	1	3	1	1	66
OG0000199	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	1	1	1	57	0	1	66
OG0000200	4	1	4	3	3	3	4	2	3	3	5	3	2	2	3	4	3	3	3	4	3	65
OG0000201	2	8	5	1	3	13	1	6	2	2	1	2	2	2	1	1	2	1	7	2	1	65
OG0000202	3	1	0	3	8	1	1	1	2	2	3	2	3	5	4	3	3	4	2	3	11	65
OG0000203	5	2	2	3	2	3	4	5	1	2	2	1	2	3	5	3	2	3	4	1	10	65
OG0000204	2	3	2	1	1	7	3	1	1	1	1	1	2	3	4	4	2	3	12	6	5	65
OG0000205	4	7	2	1	2	1	5	1	1	2	1	5	4	1	3	6	8	2	2	4	3	65
OG0000206	0	3	4	1	2	2	3	3	3	7	4	2	4	0	5	3	1	3	11	2	2	65
OG0000207	3	2	4	4	3	3	3	4	3	3	3	3	3	4	3	3	3	3	3	1	3	64
OG0000208	1	3	3	2	4	2	3	1	5	4	4	5	5	1	4	4	4	2	3	2	2	64
OG0000209	1	2	2	7	6	6	1	1	1	8	7	3	2	1	7	3	1	1	2	1	1	64
OG0000210	0	4	4	3	3	3	4	0	3	3	3	3	3	6	3	3	2	3	3	5	3	64
OG0000211	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63
OG0000212	2	4	2	2	3	2	4	4	4	3	4	3	3	2	3	4	2	4	2	4	2	63
OG0000213	2	1	1	4	6	1	9	1	1	3	1	5	4	3	3	4	6	1	5	1	1	63
OG0000214	4	3	4	2	2	4	2	2	2	2	3	2	2	7	7	1	1	2	3	2	6	63
OG0000215	3	1	3	2	2	2	2	1	2	1	2	1	2	6	7	4	4	2	8	4	4	63
OG0000216	3	12	13	1	1	1	2	10	1	1	1	1	1	1	1	2	1	1	1	7	1	63
OG0000217	2	6	3	1	1	4	1	11	1	1	1	1	1	8	1	1	1	1	1	15	1	63
OG0000218	1	2	1	1	1	1	3	1	2	1	1	6	8	3	13	6	3	3	4	1	1	63
OG0000219	0	2	1	2	1	1	2	1	2	4	6	2	5	1	5	5	5	3	5	1	9	63
OG0000220	0	2	1	0	6	0	4	1	2	2	1	1	1	6	8	7	8	1	6	1	5	63
OG0000221	0	1	1	1	1	23	3	1	0	8	2	1	1	1	12	1	1	1	1	2	1	63
OG0000222	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	35	14	13	0	0	0	63
OG0000223	2	8	7	3	2	6	2	3	2	2	2	2	3	3	2	2	2	2	2	3	2	62
OG0000224	5	2	3	1	6	2	12	2	2	1	1	3	1	7	1	1	1	1	4	2	4	62
OG0000225	3	1	2	1	3	1	8	1	4	4	2	3	3	4	4	4	3	3	4	1	3	62
OG0000226	9	2	2	1	3	4	3	2	3	3	2	4	4	2	3	2	4	0	6	3	0	62
OG0000227	2	1	2	4	4	3	5	1	1	2	1	4	5	0	6	9	6	2	2	1	1	62
OG0000228	5	1	0	0	1	3	4	0	3	1	1	1	1	2	0	12	6	2	18	0	1	62
OG0000229	8	4	4	1	1	14	1	8	1	1	1	2	2	1	2	1	1	1	1	2	4	61
OG0000230	4	2	2	3	3	2	2	2	4	4	2	6	3	2	1	2	2	6	3	2	4	61
OG0000231	2	7	2	1	2	2	1	3	1	1	1	6	12	1	2	2	2	2	4	4	3	61
OG0000232	2	23	3	3	2	2	2	1	1	2	1	2	1	1	4	1	1	3	2	1	3	61
OG0000233	2	1	2	4	1	2	6	4	2	3	1	2	2	4	2	2	3	1	9	7	1	61
OG0000234	1	3	2	1	3	0	2	3	2	2	3	1	3	8	3	4	1	0	16	2	1	61
OG0000235	2	4	2	3	4	4	6	1	1	1	3	2	3	3	3	4	3	1	4	4	3	61
OG0000236	2	8	6	2	2	4	2	3	2	2	2	2	2	2	2	4	6	3	2	1	2	61
OG0000237	2	2	2	3	3	2	6	3	3	3	3	3	3	1	4	3	3	3	2	4	3	61
OG0000238	1	1	0	0	0	0	11	0	0	0	0	0	0	10	0	15	5	6	12	0	0	61
OG0000239	0	4	5	2	4	0	1	15	1	1	3	1	3	1	1	2	5	3	7	2	0	61
OG0000240	0	0	0	1	2	0	1	0	1	1	2	1	3	13	1	4	3	3	14	9	2	61
OG0000241	1	2	1	6	3	6	2	3	2	1	6	5	8	2	5	2	4	0	1	0	0	60
OG0000242	13	10	4	0	1	9	0	0	0	0	0	0	0	1	0	0	0	0	13	3	6	60
OG0000243	23	4	4	1	1	0	1	2	1	2	1	1	1	1	2	1	1	1	10	0	2	60
OG0000244	6	1	1	1	1	1	1	1	1	1	1	1	3	5	17	1	1	5	3	2	6	60
OG0000245	4	11	12	1	1	5	3	3	2	2	2	1	1	3	1	1	1	1	1	3	1	60
OG0000246	3	2	4	2	3	3	3	2	2	2	2	2	2	3	3	6	2	3	4	3	4	60
OG0000247	3	5	4	3	2	2	2	4	0	2	2	2	2	1	3	3	5	3	1	9	2	60
OG0000248	6	8	5	1	4	6	1	2	2	2	1	2	1	3	2	1	2	2	2	6	1	60
OG0000249	1	8	3	1	3	3	4	2	3	6	1	3	6	2	2	1	1	3	4	1	2	60
OG0000250	0	2	3	4	2	3	3	2	2	2	4	3	3	2	3	4	4	3	5	1	5	60
OG0000251	5	3	1	2	5	3	2	1	2	2	3	4	4	3	3	4	2	2	2	5	1	59
OG0000252	6	2	1	3	4	1	2	1	3	2	3	1	3	8	11	1	1	2	1	1	2	59
OG0000253	2	13	4	1	1	3	2	6	2	2	2	3	2	3	3	2	1	2	1	2	2	59
OG0000254	5	11	2	2	2	3	3	2	2	2	2	2	3	3	2	2	2	2	2	3	2	59
OG0000255	6	1	2	1	2	3	5	2	2	2	2	1	2	2	2	0	3	3	12	2	4	59
OG0000256	2	1	1	1	2	2	2	1	2	1	1	9	1	4	4	8	7	1	2	3	4	59
OG0000257	2	2	6	2	4	3	2	2	2	2	2	3	5	3	3	2	2	3	2	4	3	59
OG0000258	0	7	7	1	3	7	1	6	2	1	1	3	1	6	1	2	1	1	6	1	1	59
OG0000259	0	0	0	1	1	1	3	1	0	1	1	2	8	1	2	1	1	1	33	0	1	59
