"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC114878885",1117.58150752361,0.0521636044779469,0.121921911339008,0.427844379283918,0.668764424072993,0.852155693940243
"LOC114878886",147.548452950679,0.431594021228594,0.21373898713651,2.01925735220662,0.0434604780789463,0.206795453875019
"LOC114878520",32.7107173363341,-0.910860356061406,0.261437711300846,-3.48404348985922,0.000493899226600865,0.0175252373869394
"LOC114878521",83.2943712880471,0.00302177011688961,0.153615895701719,0.0196709468319416,0.984305867363645,0.993830753721185
"LOC114878523",2.13688588857298,-0.826702032411887,1.09162867994827,-0.757310656633779,0.448863767925264,NA
"LOC114878522",235.273568420976,-0.769686502447267,0.322562940422231,-2.38615912119277,0.0170253827617981,0.124134103503396
"LOC114878519",0.926020346069923,0.105732412135113,1.4671681833967,0.0720656386443216,0.942549671487916,NA
"LOC114878518",3.76450631912583,-0.483864992700674,0.706781485080722,-0.684603378716707,0.493594234401035,NA
"LOC114878525",84.9523872335841,0.276442393198372,0.168728089762511,1.63838987087136,0.10134039078234,0.330819832639308
"LOC114878517",18.3186541546572,-0.331936143524493,0.341296586263698,-0.972573875286367,0.330765131977216,0.612249436606328
"LOC114878526",223.988162064073,0.0934780149837153,0.105891678366435,0.882770170666646,0.377360460265252,0.654734636571703
"LOC114878527",0.194859188218148,0,3.81692887976117,0,1,NA
"LOC114876853",1957.66146857647,0.319495222675372,0.0949865558210001,3.36358361363742,0.000769375263676586,0.0222835620847679
"LOC114876855",1190.06681972419,-0.0169473387525647,0.0772509460056644,-0.219380339385384,0.826353783914298,0.926984962304716
"LOC114876852",555.952905218045,0.0684828483329934,0.186006972213496,0.368173555636345,0.712743827131544,0.876244559250888
"LOC114876856",141.963789006219,0.0494837885725415,0.220775273250636,0.224136461678681,0.822651121808305,0.925611227421677
"LOC114876851",218.30026198874,-0.380721642978921,0.301044704377279,-1.26466812882976,0.205990319468566,0.481726001712927
"LOC114876859",39.4328709464303,-0.917984610640651,0.291131982274766,-3.15315618527363,0.00161515365066757,0.032318532834922
"LOC114876858",759.337697684509,0.161286042763755,0.139441206411114,1.15665983474236,0.247411365705213,0.525827248546686
"LOC114876857",337.47127963642,-0.497732234192755,0.195626686065492,-2.54429620111299,0.0109498187939293,0.098293276970671
"LOC114876860",1.73468593031373,-0.885570147518427,1.1060698083385,-0.800645800872825,0.423336727715623,NA
"LOC114876848",198.457329812642,-0.191083933870056,0.252093978668381,-0.757986901866543,0.448458824007238,0.70855893846659
"LOC114876847",251.243879770817,-0.52272942147571,0.176650130687024,-2.95912275548692,0.00308516179236248,0.0479113448083661
"LOC114876850",294.336035725502,0.176417146760654,0.135739572348066,1.29967365970685,0.193712841851255,0.467662758931061
"LOC114876861",60.7141248795015,-0.234981286625764,0.268388212326054,-0.875527597092432,0.381286901118651,0.656129091570986
"LOC114876845",18.1738640550499,-0.210927243241571,0.351705690801368,-0.599726557625409,0.548688485901336,0.776486313531237
"Trnap-cgg_2",0,NA,NA,NA,NA,NA
"LOC114876863",0.0867616798084341,0.756098289472847,3.81692887976169,0.198090746065998,0.842974064944037,NA
"LOC114876849",69.6333619201784,-0.442909698897361,0.228181680470658,-1.94103969251079,0.0522534630642575,0.229158011264617
"LOC114871973",2.28972986045981,-0.0259019392929179,0.910644726568893,-0.0284435175839766,0.977308416215371,NA
"LOC114871972",55.084489205619,-0.439012902575403,0.211356565822017,-2.07711977561698,0.0377905058005396,0.1912207694366
"LOC114871984",154.598573328455,-0.111796973104372,0.205761686277076,-0.543332313839164,0.586901019485392,0.802769727072443
"LOC114871985",2.39018679067392,-0.732606984747526,1.07026579719872,-0.684509386981279,0.493653563908816,NA
"LOC114871962",1251.25681952734,0.00426142132059356,0.0939076384650873,0.0453788572500187,0.963805333094557,0.98676181285949
"LOC114871961",136.328693689539,-0.0713137311701416,0.162624835063065,-0.438516854713406,0.661011654793295,0.84862258062284
"LOC114871960",781.724588970264,0.155548523977718,0.0826358156679881,1.8823378546014,0.059790157880756,0.250238772477881
"LOC114871987",447.076364506744,1.19323724301245,0.720412543511656,1.65632491238424,0.0976560380757069,0.325518396568538
"LOC114871986",28.434621114782,-0.503006077126763,0.278493706958749,-1.80616676268835,0.0708922949312008,0.273098755096042
"LOC114871970",0.434102744877543,-2.04143998462152,2.62145272045125,-0.778743773898814,0.436130664681735,NA
"LOC114871968",171.992446973033,-0.362152223127871,0.184358179823282,-1.96439465542031,0.0494843421683489,0.22220504000277
"LOC114871990",0,NA,NA,NA,NA,NA
"LOC114871967",10.9923518352875,-0.476346162654465,0.610248102835975,-0.780577867330953,0.435050813311202,0.699186296541812
"LOC114871969",164.007627757997,0.173552337305704,0.116098251893763,1.49487468135623,0.13494715111601,0.386815725815837
"LOC114871981",12.7637275901973,0.565757395910897,0.360152814246932,1.57088150787848,0.116210174699572,0.356020918077013
"LOC114871976",215.510312594917,-0.366813382262349,0.179109524412361,-2.04798367627754,0.0405615988998377,0.199990922617372
"LOC114871983",5.40806965539158,-0.159276920217148,0.539909605440369,-0.295006642986536,0.767988805060863,0.901863458001675
"LOC114871979",495.001043321194,-0.000486266891179287,0.0861051422252653,-0.00564736180223862,0.995494081159721,0.997607208056685
"LOC114871977",1340.00462730955,0.0640613027300003,0.0937171367766393,0.683560178355435,0.494252937711146,0.737823911125477
"LOC114871980",609.618685985623,0.021459466029846,0.149652502197285,0.143395303885773,0.885977991604942,0.954109710292641
"LOC114871982",1.21971217578609,-1.38333058042177,1.65724947165895,-0.834714751205813,0.403878334110466,NA
"LOC114871975",227.641751611025,-1.42126068437304,0.295359182825615,-4.81197391859044,1.49446860382573e-06,0.000427599168403713
"LOC114871965",30.806445901753,-0.559683403460026,0.398036198013446,-1.40611182162161,0.159690922543867,0.422116934675025
"LOC114871964",23.5863657648042,-1.08796556892796,0.460215157236722,-2.36403680283034,0.018077016711276,0.128140534375276
"LOC114871966",0.642363777944394,-0.85461909199592,1.67246821366012,-0.510992726208902,0.609356150081639,NA
"LOC114871963",9.43561543343102,-0.53814492338374,0.45923025928419,-1.17184116791989,0.241260830896948,0.520008175765192
"LOC114871956",194.394856163362,-0.541980333560109,0.185853102229384,-2.91617587793173,0.0035435068732054,0.0518725455764425
"LOC114871988",36.4049745376103,-0.645062263674358,0.25971168308712,-2.48376297903384,0.0130002304930074,0.107203647436661
"LOC114871957",87.4893347840472,0.0135260942164714,0.257804307608847,0.0524665174989779,0.958156973738927,0.985081480107288
"LOC114871958",773.921218808547,-0.0593150368536308,0.20282186224481,-0.292448931279589,0.769943400794341,0.902186287779293
"LOC114871959",887.640907779069,0.132302655074206,0.0943569658778816,1.40215037483755,0.160870346940729,0.422906894146366
"LOC114871971",6.63913787518855,-0.0654377798803718,0.459068558982328,-0.142544677913546,0.886649791771452,0.95415401571758
"LOC114879617",41.6028454568713,-0.474295452489514,0.27284249582365,-1.73834890000446,0.0821493548661699,0.297185520554167
"LOC114879615",46.9024675255619,-0.483383697953573,0.224257721937385,-2.15548295852456,0.0311240607659712,0.172548191097035
"LOC114879618",15.9203394820143,-0.725911631539381,0.400466019038702,-1.81266723524232,0.0698831608801597,0.271176759986213
"LOC114879619",0,NA,NA,NA,NA,NA
"LOC114874947",352.978667322693,0.116258874962569,0.122011170587474,0.952854352620274,0.340663870946662,0.622040583696611
"LOC114874948",55.9750719769107,0.156002575215565,0.191116201655944,0.816270802076783,0.414345270002007,0.681289711122486
"LOC114874951",2.87259355088013,2.10511367785254,0.961225046323858,2.19003206991267,0.0285219110730732,NA
