"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC114874281",26.2319706935438,-0.420101642294512,0.45996295982843,-0.913337983674191,0.361064811204311,0.815978795533734
"LOC114874285",7.53316667171412,-1.88469465605047,0.671526475303872,-2.80658280106921,0.00500700424999594,0.161121801350935
"LOC114874284",659.071421574937,-0.0209862717704722,0.207848898336806,-0.100968886236122,0.919575159109334,0.988227346040277
"LOC114874299",91.4063705569199,0.202088951490888,0.146446356898458,1.37995205733258,0.167601406701372,0.663666431336445
"LOC114874300",76.197827555856,-0.115982319568979,0.202703296425569,-0.572177767279512,0.567201547976165,0.908923755459595
"LOC114874279",1240.88978349273,0.0373811604719888,0.099721970900904,0.374853807383483,0.707769194572767,0.951276069314394
"LOC114874292",7.59538606694698,-0.0420131292811974,0.474674495877548,-0.0885093461858029,0.929471856312111,0.990866810404822
"LOC114874288",908.343899459423,-0.0929038710636672,0.173270711616638,-0.536177581293815,0.59183582600479,0.917984917263059
"LOC114874291",1998.15067465067,0.000415132868512232,0.0818426141038266,0.0050723314871833,0.995952882373519,0.999278239149146
"LOC114874290",2.08720945060323,-0.631621671230072,0.95176108561662,-0.663634688132749,0.506924150199776,NA
"LOC114874319",131.884450691646,-0.571792855893834,0.167019634767413,-3.42350680319769,0.000618187043862482,0.0463740801115375
"LOC114874321",7.92077193315549,0.347295277939128,0.498373897725214,0.696856876983983,0.485892367221194,0.878196775950284
"LOC114874320",551.55727385,0.189056020574429,0.124520310116798,1.51827457221314,0.128945195088825,0.602533005117418
"LOC114874322",1.57499633170028,-0.910856233554732,1.0694978829963,-0.851667168337801,0.394398847911491,NA
"LOC114874302",27.0176560298318,0.101992401642665,0.348273382123384,0.292851555352374,0.769635619371959,0.964786668423981
"LOC114874286",2.99440637747116,0.790913961347425,0.847732108547534,0.932976294483574,0.35083220802983,NA
"LOC114874303",0,NA,NA,NA,NA,NA
"LOC114874305",0.0863979477481398,-1.04825575602242,3.81692887976169,-0.274633295260106,0.783597983628833,NA
"LOC114874304",0.403252381819707,1.62472529004502,1.96901155188979,0.825147667866988,0.409287759864364,NA
"LOC114874297",0,NA,NA,NA,NA,NA
"LOC114874293",21.025681994586,-0.600172375215106,0.4533148699938,-1.32396357353844,0.185515142714574,0.688821518869847
"LOC114874296",354.354231333365,1.30806078060022,0.541341971682362,2.41632987838552,0.0156778504903211,0.267866002231086
"LOC114874295",1.41581756295145,-0.550992293583827,1.12557530946981,-0.489520593556166,0.624473178530829,NA
"LOC114874294",14.464707145382,-0.119530938343927,0.394014647549702,-0.303366737981103,0.761610391246324,0.964786668423981
"LOC114874282",7.67985799836061,-0.217384877593287,0.567934446649173,-0.382764030031745,0.701894733961578,0.950101096757889
"LOC114874301",209.056876043006,0.250418881822258,0.221150188985028,1.13234758229943,0.25748833294689,0.738200902721229
"LOC114874307",270.13874852264,-0.388305719793106,0.192154051602649,-2.02080422741267,0.0433000350471387,0.417703724688881
"LOC114874323",75.907065929912,0.489144957111081,0.328459349209691,1.48921002945423,0.13643207057896,0.618542315318225
"LOC114874324",44.5403120804538,0.386346408196793,0.251508907565777,1.53611421534147,0.124510370431067,0.595824463791443
"Trnae-uuc",0,NA,NA,NA,NA,NA
"Trnae-cuc_3",0,NA,NA,NA,NA,NA
"Trnae-cuc_4",0,NA,NA,NA,NA,NA
"Trnae-uuc_2",0,NA,NA,NA,NA,NA
"Trnae-uuc_1",0,NA,NA,NA,NA,NA
"LOC114874315",582.200229939144,-0.278231336563365,0.172096217660763,-1.61671964872474,0.105938810611034,0.568974042786968
"LOC114874316",269.911635183983,0.0518028816984288,0.124088395668508,0.417467575588743,0.676336436130771,0.941544401958151
"LOC114874317",175.336032792229,7.2591310316918e-05,0.169181213948403,0.000429074296269426,0.999657648254074,0.999874376199495
"LOC114880199",414.115331034398,-0.120369223992738,0.127660064778069,-0.942888633199379,0.345737869567946,0.807217439904717
"LOC114880200",542.737781037664,-0.306024168663132,0.137669816167708,-2.2228849952871,0.0262235558049163,0.340700351225311
"LOC114880197",423.154376022369,-0.265463735471153,0.13770972328857,-1.92770509686433,0.0538918177769364,0.444776209863857
"LOC114880201",338.241010115832,0.0281607006605144,0.23966472839467,0.117500396696424,0.906463529703782,0.98601270050815
"LOC114880194",276.100299496062,0.242486490861709,0.148929237829441,1.62819936767159,0.103482618836408,0.56373710857749
"LOC114880198",226.143597795056,0.0635490741778698,0.113994663985683,0.557474112874714,0.57720354128067,0.912245821983855
"LOC114880195",417.56555610593,-0.415095337818963,0.226908222127095,-1.82935344487632,0.0673466770714355,0.482875997659606
"LOC114881181",872.436677843322,-0.367424019471993,0.0890263341199214,-4.12713859448667,3.67305042561284e-05,0.00788168285514644
"LOC114881182",367.51455267677,0.203011843900436,0.11973098367758,1.69556649135299,0.089968008144074,0.54025180116908
"LOC114881183",1.81872392677756,1.78445934152022,1.09356759301132,1.6317778186956,0.102726299692344,NA
"LOC114881301",20.8935010035778,-0.00163257347700079,0.330377978854943,-0.00494153237046586,0.996057243661096,0.999278239149146
"LOC114881292",0.300044897797254,-1.07363663362162,3.50636473870235,-0.306196506533133,0.759455032135036,NA
"LOC114880592",23.0900311921207,0.135905446078313,0.287686986815126,0.472407346550052,0.636636061559593,0.929455170832608
"LOC114880594",0.19278048886616,0.39441354529664,3.08483678234208,0.127855563559895,0.898263277483955,NA
"LOC114880981",251.202152823439,0.250207713887567,0.217777587513663,1.1489139756949,0.250591454213849,0.734733825240287
"LOC114880968",6.52716833317964,0.360186613287438,0.546357891730069,0.659250316943148,0.509735040651742,NA
"LOC114880969",3.20704581865169,0.658043768434556,1.05002247915473,0.626694934154442,0.530859225167488,NA
"LOC114880974",3.78859002546042,-0.648471017713626,0.680112848227865,-0.953475617176346,0.340349144477696,NA
"LOC114880975",377.175418611856,-0.0871458906342531,0.281186431119731,-0.309922105014897,0.756620192523578,0.964465616426017
"LOC114880976",379.602722953493,0.0041639749570789,0.0912553352293154,0.0456299343661962,0.963605209840418,0.996078238356608
